name,setting,lower_estimand,upper_estimand,seed,min_distance,max_distance,regular_param,Sample Size,Epoch,True_ATE,alpha,ratio,radius
ATE,leaky,-0.5963732,7.1624484,2,0.39405996,0.43609652,0,5000,600,2,0.436699827,0,8
ATE,leaky,-1.073268652,0.686165214,1,0.348011553,0.330833972,0,5000,600,2,0.36171276,0,8
ATE,leaky,-3.740864038,7.802083015,2,0.334909827,0.346370667,0,5000,600,2,0.36497854,0,8
ATE,leaky,-1.524009347,0.755193233,3,0.333299398,0.366222888,0,5000,600,2,0.372393578,0,8
ATE,leaky,-0.620402396,17.47451973,4,0.370557696,0.372500837,0,5000,600,2,0.393975534,0,8
ATE,leaky,-1.073268652,0.686165214,1,0.348011553,0.330833972,0,5000,600,2,0.36171276,0,8
ATE,leaky,-3.740864038,7.802083015,2,0.334909827,0.346370667,0,5000,600,2,0.36497854,0,8
ATE,leaky,-1.524009347,0.755193233,3,0.333299398,0.366222888,0,5000,600,2,0.372393578,0,8
ATE,leaky,-0.620402396,17.47451973,4,0.370557696,0.372500837,0,5000,600,2,0.393975534,0,8
ATE,leaky,-16.66811752,7.552752972,5,0.360956162,0.361902207,0,5000,600,2,0.363793279,0,8
ATE,leaky,-2.431503534,6.373705387,1,0.344484597,0.349086851,0,5000,600,2,0.36171276,0,8
ATE,leaky,-8.280359268,23.80556488,2,0.351221263,0.353997588,0,5000,600,2,0.36497854,0,8
ATE,leaky,-1.090092301,14.35629082,3,0.304821759,0.360448241,0,5000,600,2,0.372393578,0,8
ATE,leaky,-0.625403047,11.55325508,4,0.370557696,0.390504748,0,5000,600,2,0.393975534,0,8
ATE,leaky,-6.228662968,5.695630074,5,0.358619422,0.346773148,0,5000,600,2,0.363793279,0,8
ATE,leaky,-4.515405178,11.08191681,1,0.360046476,0.340714157,0,5000,600,2,0.36171276,0,8
ATE,leaky,-0.394240052,15.16901112,2,0.302769631,0.349630654,0,5000,600,2,0.36497854,0,8
ATE,leaky,-0.208423212,10.92028141,3,0.363847852,0.351381302,0,5000,600,2,0.372393578,0,8
ATE,leaky,-13.21030903,12.66911697,4,0.378387064,0.368604988,0,5000,600,2,0.393975534,0,8
ATE,leaky,-0.639633477,0.671328902,5,0.318107545,0.362391412,0,5000,600,2,0.363793279,0,8
ATE,leaky,-3.219295502,0.622848153,1,0.312357336,0.278929293,0,5000,600,2,0.36171276,0,8
ATE,leaky,-0.380341142,0.764917076,2,0.323887885,0.32588169,0,5000,600,2,0.36497854,0,8
ATE,leaky,-0.341831505,9.686873436,3,0.336850494,0.35222289,0,5000,600,2,0.372393578,0,8
ATE,leaky,-24.5600071,0.822954416,4,0.387302011,0.323294222,0,5000,600,2,0.393975534,0,8
ATE,leaky,-0.422515184,0.651875854,5,0.318628997,0.362391412,0,5000,600,2,0.363793279,0,8
ATE,leaky,-0.957382023,7.442839146,0,0.360598385,0.359011143,0,5000,600,2,0.366168615,0,8
ATE,leaky,-0.891813695,7.246055603,10,0.380280823,0.347102731,0,5000,600,2,0.391123886,0,8
ATE,leaky,-5.688990593,13.88686752,11,0.350720704,0.391363382,0,5000,600,2,0.393043038,0,8
ATE,leaky,-0.606349766,0.054685041,12,0.362826437,1.114162445,0,5000,600,2,0.3641259,0,8
ATE,leaky,-4.800091267,-0.012865461,13,0.304925889,1.133160233,0,5000,600,2,0.34621792,0,8
ATE,leaky,-5.354710579,1.717339993,14,0.428095222,0.414038241,0,5000,600,2,0.446311294,0,8
,,,,,,,,,,,,,
,,-4.186861777,4.116705079,,,,,,,,,,
