name,setting,lower_estimand,upper_estimand,seed,min_distance,max_distance,regular_param,Sample Size,Epoch,True_ATE,alpha,ratio,radius
ATE,leaky,-1.3324869,0.2478209,16,0.6383274,0.617357,0,5000,600,1,0.6465452045202256,0,8
ATE,leaky,0.0222176387906074,0.4786286056041717,17,0.6187700033187866,0.6370033025741577,0,5000,600,1,0.6478287607431412,0,8
ATE,leaky,-25.318161010742188,1.623481273651123,18,0.648907482624054,0.6417507529258728,0,5000,600,1,0.6505524575710296,0,8
ATE,leaky,0.0613991506397724,1.8337947130203247,19,0.614997923374176,0.6292451620101929,0,5000,600,1,0.6566269278526307,0,8
ATE,leaky,-2.034987211227417,0.3578346073627472,20,0.5707474946975708,0.5702451467514038,0,5000,600,1,0.5740704834461212,0,8
ATE,leaky,-0.1363976001739502,2.927943706512451,16,0.3646164834499359,0.3500844836235046,0,5000,600,2,0.3697547137737274,0,8
ATE,leaky,-1.815690398216248,7.245694637298584,17,0.3579325675964355,0.390802800655365,0,5000,600,2,0.3945535749197006,0,8
ATE,leaky,-3.503732442855835,2.9093520641326904,18,0.3431412875652313,0.3407265245914459,0,5000,600,2,0.3620221301913261,0,8
ATE,leaky,-6.259276390075684,31.637481689453125,19,0.3260467648506164,0.3398817777633667,0,5000,600,2,0.3401662185788154,0,8
ATE,leaky,-6.878868579864502,4.642100811004639,20,0.39383652806282043,0.3776021897792816,0,5000,600,2,0.3952441468834877,0,8
